id,County,income
48001,Anderson County,58458
48003,Andrews County,14786
48005,Angelina County,86771
48007,Aransas County,23158
48009,Archer County,9054
48011,Armstrong County,1901
48013,Atascosa County,44911
48015,Austin County,28417
48017,Bailey County,7165
48019,Bandera County,20485
48021,Bastrop County,74171
48023,Baylor County,3726
48025,Bee County,31861
48027,Bell County,310235
48029,Bexar County,1714773
48031,Blanco County,10497
48033,Borden County,641
48035,Bosque County,18212
48037,Bowie County,92565
48039,Brazoria County,313166
48041,Brazos County,194851
48043,Brewster County,9232
48045,Briscoe County,1637
48047,Brooks County,7223
48049,Brown County,38106
48051,Burleson County,17187
48053,Burnet County,42750
48055,Caldwell County,38066
48057,Calhoun County,21381
48059,Callahan County,13544
48061,Cameron County,406220
48063,Camp County,12401
48065,Carson County,6182
48067,Cass County,30464
48069,Castro County,8062
48071,Chambers County,35096
48073,Cherokee County,50845
48075,Childress County,7041
48077,Clay County,10752
48079,Cochran County,3127
48081,Coke County,3320
48083,Coleman County,8895
48085,Collin County,782341
48087,Collingsworth County,3057
48089,Colorado County,20874
48091,Comal County,108472
48093,Comanche County,13974
48095,Concho County,4087
48097,Cooke County,38437
48099,Coryell County,75388
48101,Cottle County,1505
48103,Crane County,4375
48105,Crockett County,3719
48107,Crosby County,6059
48109,Culberson County,2398
48111,Dallam County,6703
48113,Dallas County,2368139
48115,Dawson County,13833
48117,Deaf Smith County,19372
48119,Delta County,5231
48121,Denton County,662614
48123,DeWitt County,20097
48125,Dickens County,2444
48127,Dimmit County,9996
48129,Donley County,3677
48131,Duval County,11782
48133,Eastland County,18583
48135,Ector County,137130
48137,Edwards County,2002
48141,El Paso County,800647
48139,Ellis County,149610
48143,Erath County,37890
48145,Falls County,17866
48147,Fannin County,33915
48149,Fayette County,24554
48151,Fisher County,3974
48153,Floyd County,6446
48155,Foard County,1336
48157,Fort Bend County,585375
48159,Franklin County,10605
48161,Freestone County,19816
48163,Frio County,17217
48165,Gaines County,17526
48167,Galveston County,291309
48169,Garza County,6461
48171,Gillespie County,24837
48173,Glasscock County,1226
48175,Goliad County,7210
48177,Gonzales County,19807
48179,Gray County,22535
48181,Grayson County,120877
48183,Gregg County,121730
48185,Grimes County,26604
48187,Guadalupe County,131533
48189,Hale County,36273
48191,Hall County,3353
48193,Hamilton County,8517
48195,Hansford County,5613
48197,Hardeman County,4139
48199,Hardin County,54635
48201,Harris County,4092459
48203,Harrison County,65631
48205,Hartley County,6062
48207,Haskell County,5899
48209,Hays County,157107
48211,Hemphill County,3807
48213,Henderson County,78532
48215,Hidalgo County,774769
48217,Hill County,35089
48219,Hockley County,22935
48221,Hood County,51182
48223,Hopkins County,35161
48225,Houston County,23732
48227,Howard County,35012
48229,Hudspeth County,3476
48231,Hunt County,86129
48233,Hutchinson County,22150
48235,Irion County,1599
48237,Jack County,9044
48239,Jackson County,14075
48241,Jasper County,35710
48243,Jeff Davis County,2342
48245,Jefferson County,252273
48247,Jim Hogg County,5300
48249,Jim Wells County,40838
48251,Johnson County,150934
48253,Jones County,20202
48255,Karnes County,14824
48257,Kaufman County,103350
48259,Kendall County,33410
48261,Kenedy County,416
48263,Kent County,808
48265,Kerr County,49625
48267,Kimble County,4607
48269,King County,286
48271,Kinney County,3598
48273,Kleberg County,32061
48275,Knox County,3719
48283,La Salle County,6886
48277,Lamar County,49793
48279,Lamb County,13977
48281,Lampasas County,19677
48285,Lavaca County,19263
48287,Lee County,16612
48289,Leon County,16801
48291,Liberty County,75643
48293,Limestone County,23384
48295,Lipscomb County,3302
48297,Live Oak County,11531
48299,Llano County,19301
48301,Loving County,82
48303,Lubbock County,278831
48305,Lynn County,5915
48313,Madison County,13664
48315,Marion County,10546
48317,Martin County,4799
48319,Mason County,4012
48321,Matagorda County,36702
48323,Maverick County,54258
48307,McCulloch County,8283
48309,McLennan County,234906
48311,McMullen County,707
48325,Medina County,46006
48327,Menard County,2242
48329,Midland County,136872
48331,Milam County,24757
48333,Mills County,4936
48335,Mitchell County,9403
48337,Montague County,19719
48339,Montgomery County,455746
48341,Moore County,21904
48343,Morris County,12934
48345,Motley County,1210
48347,Nacogdoches County,64524
48349,Navarro County,47735
48351,Newton County,14445
48353,Nolan County,15216
48355,Nueces County,340223
48357,Ochiltree County,10223
48359,Oldham County,2052
48361,Orange County,81837
48363,Palo Pinto County,28111
48365,Panola County,23796
48367,Parker County,116927
48369,Parmer County,10269
48371,Pecos County,15507
48373,Polk County,45413
48375,Potter County,121073
48377,Presidio County,7818
48379,Rains County,10914
48381,Randall County,120725
48383,Reagan County,3367
48385,Real County,3309
48387,Red River County,12860
48389,Reeves County,13783
48391,Refugio County,7383
48393,Roberts County,929
48395,Robertson County,16622
48397,Rockwall County,78337
48399,Runnels County,10501
48401,Rusk County,53330
48403,Sabine County,10834
48405,San Augustine County,8865
48407,San Jacinto County,26384
48409,San Patricio County,64804
48411,San Saba County,6131
48413,Schleicher County,3461
48415,Scurry County,16921
48417,Shackelford County,3378
48419,Shelby County,25448
48421,Sherman County,3034
48423,Smith County,209714
48425,Somervell County,8490
48427,Starr County,60968
48429,Stephens County,9630
48431,Sterling County,1143
48433,Stonewall County,1490
48435,Sutton County,4128
48437,Swisher County,7854
48439,Tarrant County,1809034
48441,Taylor County,131506
48443,Terrell County,984
48445,Terry County,12651
48447,Throckmorton County,1641
48449,Titus County,32334
48451,Tom Green County,110224
48453,Travis County,1024266
48455,Trinity County,14585
48457,Tyler County,21766
48459,Upshur County,39309
48461,Upton County,3355
48463,Uvalde County,26405
48465,Val Verde County,48879
48467,Van Zandt County,52579
48469,Victoria County,86793
48471,Walker County,67861
48473,Waller County,43205
48475,Ward County,10658
48477,Washington County,33718
48479,Webb County,250304
48481,Wharton County,41280
48483,Wheeler County,5410
48485,Wichita County,131500
48487,Wilbarger County,13535
48489,Willacy County,22134
48491,Williamson County,422679
48493,Wilson County,42918
48495,Winkler County,7110
48497,Wise County,59127
48499,Wood County,41964
48501,Yoakum County,7879
48503,Young County,18550
48505,Zapata County,14018
48507,Zavala County,11677